"Saldo al Inicio","Intereses y Gastos Bancarios","Impuestos Ley 25413","Impuestos Ley 25413 COMPUTABLE","SUELDOS","Proveedores","Retenciones de IIBB","Pago IIBB","Cargas Soiciales","Pago de Iva","Planes Pago AFIP","FIMA débito ","TASA MUNICIPAL","SINDICATO","Deudores por ventas (tmb Rappi)","Moratoria","FIMA crédito","Tarjetas de Credito","Caja","Saldo al cierre",""
"","","","","","","","","","","","","","","","","","","","",""
"1023817.31","- 83,958.51 ","- 1,558,656.59 ","- 278,779.17 ","- 34,899,651.00 ","- 107,733,517.81 ","0","0","- 25,975,063.50 ","- 13,850,791.44 ","- 81,609.24 ","- 23,000,000.00 ","0","- 1,172,529.72 ","  7,025,981.53 ","0","  54,500,000.00 ","  128,422,922.29 ","0","17661835.85","- 128,422,922.29 "
"","-0.43","1,558,656.59","278,779.17","-500000","- 710,000.00 ","","","-25975063.5","-13850791.44","6424.38","-6000000","","1172529.72","586942.17","","2500000","","","",""
"","-10983","","","-567842","- 2,810,810.29 ","","","","","2189.48","-17000000","","","1965514.27","","30000000","","","",""
"","-1569","","","-300000","- 3,147,924.51 ","","","","","3291.75","","","","798127.38","","2000000","","","",""
"","-63","","","-29330993","- 2,412,929.17 ","","","","","12915.6","","","","1081613.11","","20000000","","","",""
"","-63","","","-1076592","- 3,200,000.00 ","","","","","4919.09","","","","1685858.77","","","","","",""
"","-63","","","-220896","- 3,200,000.00 ","","","","","7684.85","","","","907925.83","","","","","",""
"","-63","","","-72032","- 590,000.00 ","","","","","29271.77","","","","","","","","","",""
"","-63","","","-400000","- 710,000.00 ","","","","","4756.23","","","","","","","","","",""
"","-63","","","-400000","- 710,000.00 ","","","","","10156.09","","","","","","","","","",""
"","-63","","","-202888","- 710,000.00 ","","","","","","","","","","","","","","",""
"","-63","","","-334574","- 710,000.00 ","","","","","","","","","","","","","","",""
"","-63","","","-230495","- 1,636,895.49 ","","","","","","","","","","","","","","",""
"","-63","","","-400000","- 710,000.00 ","","","","","","","","","","","","","","",""
"","-63","","","-183132","- 3,256,734.12 ","","","","","","","","","","","","","","",""
"","-63","","","-346545","- 742,583.00 ","","","","","","","","","","","","","","",""
"","-63","","","-247224","- 2,440,665.39 ","","","","","","","","","","","","","","",""
"","-63","","","-86438","- 2,359,545.16 ","","","","","","","","","","","","","","",""
"","-63","","","","- 2,105,719.64 ","","","","","","","","","","","","","","",""
"","-63","","","","- 710,000.00 ","","","","","","","","","","","","","","",""
"","-18.9","","","","- 710,000.00 ","","","","","","","","","","","","","","",""
"","-63","","","","- 1,090,000.00 ","","","","","","","","","","","","","","",""
"","-63","","","","- 1,090,000.00 ","","","","","","","","","","","","","","",""
